order_id,order_date,customer_id,customer_age,customer_city,category,product,quantity,unit_price,total_price,order_month,day_of_week
ORD-000001,2024-04-12,CUST-3203,64,Ankara,Spor,Tişört,1,2145.95,2145.95,2024-04,Friday
ORD-000002,2024-12-14,CUST-2390,34,Ankara,Kozmetik,Roman,2,903.58,1807.16,2024-12,Saturday
ORD-000003,2024-09-27,CUST-2742,62,Kayseri,Kozmetik,Yoga Matı,2,4087.76,8175.52,2024-09,Friday
ORD-000004,2024-04-16,CUST-2925,49,İstanbul,Kozmetik,Ayna,3,2046.14,6138.42,2024-04,Tuesday
ORD-000005,2024-03-12,CUST-1619,39,Ankara,Ev & Yaşam,Kulaklık,1,4680.95,4680.95,2024-03,Tuesday
ORD-000006,2024-07-07,CUST-2274,21,Gaziantep,Spor,Perde,2,4752.0,9504.0,2024-07,Sunday
ORD-000007,2024-01-21,CUST-1956,22,Kayseri,Ev & Yaşam,Futbol Topu,4,618.4,2473.6,2024-01,Sunday
ORD-000008,2024-04-12,CUST-2939,54,Ankara,Giyim,Vazo,2,4784.94,9569.88,2024-04,Friday
ORD-000009,2024-05-01,CUST-4953,58,Ankara,Elektronik,Parfüm,3,1872.94,5618.82,2024-05,Wednesday
ORD-000010,2024-08-02,CUST-3381,30,İstanbul,Kozmetik,Güneş Kremi,4,3248.95,12995.8,2024-08,Friday
ORD-000011,2024-11-26,CUST-4713,51,Diğer,Spor,Roman,1,222.01,222.01,2024-11,Tuesday
ORD-000012,2024-03-28,CUST-1968,62,İstanbul,Kozmetik,Mont,4,4449.98,17799.92,2024-03,Thursday
ORD-000013,2024-04-09,CUST-3558,39,Diğer,Ev & Yaşam,Bisiklet,4,3225.91,12903.64,2024-04,Tuesday
ORD-000014,2024-12-25,CUST-2316,40,Antalya,Kitap,Futbol Topu,3,3235.59,9706.77,2024-12,Wednesday
ORD-000015,2024-05-31,CUST-2043,20,İzmir,Giyim,Halı,2,4515.77,9031.54,2024-05,Friday
